,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,configuration,specialkey,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
0,0,0.603233365641658,0.00038105703819948196,0.027712906679656108,0.0002208123653866129,0.4637336317023169,0.00032830761353827624,0.03248951374148674,0.00017774390853264173,0.6946539293790707,0.6946539293790707,0.07952866440401428,0.07952866440401428,23972,20A,9337.52715130606,0.0,0.9884071580017312,1379439351.0,20,246.8488457275233,4.417700804503094,1379439351.0,489,81.67911481658376,4.661171116663391,Run_23972vs20A_12mm,wrapped,normal,22.0,70.98815251308258,5.393263981622732,236.390547868565,17.959569058803698,16.499300380766194,0.0910171782666493,10.819012831156824,0.08647478935192422
1,1,0.6252825777453292,0.00018093019110143382,0.025168247063291887,0.00010881218534259423,0.5058687897013943,0.00016226543691216902,0.028112308537158414,8.960076500438991e-05,0.7233125907299711,0.7233125907299711,0.06112147409741405,0.06112147409741405,23972,30B,75167.52078452289,0.0,1.7917879345598329,1379439353.0,30,324.22549852360686,1.505499209071278,1379439353.0,3304,80.89068975807874,1.1908053699813137,Run_23972vs30B_19mm,wrapped,normal,15.0,70.07955257803623,1.490508861864003,233.36491008486064,4.96339451000713,13.087284282568104,0.04192306816448853,9.479109756707937,0.04107358722379532
2,2,0.6253832454034018,0.0001837936128023169,0.026883165899210887,0.00010712239751107313,0.5128774351996948,0.00015316608268565814,0.02672217084484291,9.140098509145276e-05,0.7607987608560776,0.7607987608560776,0.12983153637266998,0.12983153637266998,23972,30B,80034.44218643125,0.0,1.2555446671871966,1379439356.0,30,236.3894102089652,1.4523007896967035,1379439356.0,3433,81.53413998930213,1.2405591430606426,Run_23972vs30B_29mm,wrapped,normal,5.0,70.82129611772943,1.5379227977220202,235.83491607203902,5.121282916414327,12.270126938827453,0.04212862494517434,10.123369335199214,0.04044854939887256
3,3,0.6043824020442647,0.0002178109370899031,0.02704860546398546,0.00012547670702512214,0.4721385275413531,0.0002328627226235373,0.03711916597356742,0.00012389375761445463,0.7246860174677984,0.7246860174677984,0.12144593577409506,0.12144593577409506,23972,20B,49855.335292090116,0.0,1.6230923172310876,1379439375.0,20,121.89377469313702,1.8909606907586145,1379439375.0,2199,78.74464038118641,1.6585326640652067,Run_23972vs20B_34mm,wrapped,normal,0.0,67.59111175859127,2.0225513611834374,225.07840215610892,6.735096032740847,18.514827909292958,0.06246853776487813,10.53959639662381,0.04903981518586913
4,4,0.6041326869564897,0.00022993879495589238,0.0276306910566752,0.00013316789079159086,0.46518617234957704,0.00020189091701387242,0.029848903068915106,0.00011258259702708952,0.6868791611188745,0.6868791611188745,0.07990233592986969,0.07990233592986969,23972,20A,45504.28503394941,0.0,1.3138031440825857,1379439360.0,20,234.17928308705643,2.019210326903365,1379439360.0,2040,79.34014948757554,1.8683409470803125,Run_23972vs20A_25mm,wrapped,normal,9.0,68.28396093308321,2.250033212090822,227.3855899071671,7.492610596262438,15.110975111803318,0.05737088917382329,10.770858595035188,0.05207246566282231
7,7,0.6226615932476915,0.0001848805669114629,0.026215062335533574,0.00010907912367825899,0.4370310137516419,0.00014785579135450632,0.02388986336655652,8.648184528884154e-05,0.7150643430310066,0.7150643430310066,0.03651192222291955,0.03651192222291955,23972,30A,83236.47242061015,0.0,1.815087361313568,1379439366.0,30,285.74385535599436,1.5667995420417982,1379439366.0,3620,84.25300836744452,1.3154092981113386,Run_23972vs30A_26.5mm,wrapped,normal,7.5,73.93517037895211,1.5954669591827013,246.20411736191053,5.312904974078395,12.873372016616804,0.04680497334354595,9.9149317172712,0.04136027357858511
8,8,0.6217704230444406,0.00018086258417802958,0.026663550292076618,0.00010830357437384583,0.4352715568046344,0.00014554105139807813,0.024001206083848814,9.026654181133006e-05,0.652709315918109,0.652709315918109,0.06490654732276238,0.06490654732276238,23972,30A,76248.8269974553,0.0,1.3583644629078937,1379439370.0,30,327.87872574327906,1.6721089070396913,1379439370.0,3364,87.8952413332806,1.5825402468519,Run_23972vs30A_21.5mm,wrapped,normal,12.5,78.06031929883221,1.855564262032478,259.94086326511126,6.179028992568152,12.985649864742586,0.049030584950202676,10.099010601112553,0.04112580662858167
9,9,0.6200511025014366,0.0003214644757405312,0.02910169103692648,0.00017921697060097852,0.5049072814808161,0.00032442399594460566,0.037940029824904575,0.00016533717321794982,0.7087588521838329,0.7087588521838329,0.08788983146450756,0.08788983146450756,23972,30B,16987.199752076638,0.0,1.3137443259830006,1379439373.0,30,337.2177150260532,3.5561106150792883,1379439373.0,835,80.17926373032259,3.6012822971522405,Run_23972vs30B_4mm,wrapped,normal,30.0,69.25716087406863,4.209827986502221,230.62634571064854,14.018727195052396,17.696074807161416,0.07795068870258608,11.05303774406289,0.06830872016862961
10,10,0.62072031123668,0.0001899713270154609,0.02563823660373269,0.00010986498661870544,0.4379814862487826,0.00014846377649845401,0.02567786364557349,9.360904424535473e-05,0.6559044123194165,0.6559044123194165,0.0498884155540082,0.0498884155540082,23972,30A,74780.92632233971,0.0,1.2599402410142688,1379439387.0,30,358.3534290841672,1.5791077232118391,1379439387.0,3251,85.58420432190269,1.3603274826714085,Run_23972vs30A_16.5mm,wrapped,normal,17.5,75.44863172658062,1.6333362710612371,251.24394364951345,5.43900978263392,13.806832202714746,0.050550137300293195,9.72709384706575,0.04178872112157909
11,11,0.6185119550540611,0.0002016474980345114,0.027468930328655012,0.0001146193725871426,0.4469765922276751,0.00016125906692097307,0.025419615116836904,9.534651158288957e-05,0.7081694176459156,0.7081694176459156,0.15883983809695842,0.15883983809695842,23972,30A,72764.52892152652,0.0,1.8638137566861537,1379439380.0,30,366.22395911169696,1.484454629506296,1379439380.0,3165,78.68809025461134,1.2834032893072762,Run_23972vs30A_06.5mm,wrapped,normal,27.5,67.52522156881723,1.610801107910066,224.85898782416137,5.3639676893405195,13.392914671840035,0.05046736361029998,10.45886508666245,0.04377462217775212
