,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
0,0,0.6624454090413987,0.00030913331867088,0.023630948832105737,0.00017924438193968724,0.6393798679043367,0.0002764690891872395,0.02909786489333419,0.0001594856622840434,0.0,0.0,0.0,0.0,23972,24044,30487.863743369224,0,0.9147519273006692,1379939748.0,2404,-13.872590349697168,1.5403621723573324,1376464426.0,1286,54.920588465735186,1.2192058436700262,Run_23972vs24044_ReferenceDOI7th_00008,,38.834720530877036,0.8621087197213412,129.31961936782054,2.8708220366720663,10.717489752751291,0.05892517600254432,8.400825749572245,0.06384203382787251
1,1,0.5950405294261104,0.00033765240543508814,0.023082226521000573,0.00020705628848802617,0.5812106329514006,0.0003366706551518651,0.025707436114642386,0.00020362318956861766,0.0,0.0,0.0,0.0,23972,24044Reference,24289.45121374897,0,0.9365273312330572,1376464023.0,20,-90.49050227218792,1.779655176218164,1376464023.0,1020,54.32759027421484,1.3540724082319742,Run_23972vs24044Reference_00003,,38.415407488421636,0.9574737820784279,127.92330693644405,3.188387694321165,10.416363469221855,0.08272615622915819,9.135284198100388,0.08211074158116917
2,2,0.6621297401208204,0.0003035018882997645,0.024814010807510088,0.00018752723119668733,0.6399904485056106,0.0002877817943322253,0.029892297383102107,0.00016235414440703166,0.0,0.0,0.0,0.0,23972,24044,29497.49083645254,0,1.3379972962637248,1379939748.0,2404,-16.97452945110122,1.6277192992072642,1376464423.0,1267,54.00292089539688,1.3411529406426017,Run_23972vs24044_ReferenceDOI7th_00006,,38.18583156901584,0.9483383389366629,127.15881912482274,3.1579666686590873,10.999595462960775,0.05994654274769699,8.825611041277668,0.06682046989977544
3,3,0.6631547582256526,0.00030308961107544316,0.024335664783044816,0.00017608013375213622,0.6389041847785484,0.0002903340011813168,0.02928110120816896,0.00016175889352435557,0.0,0.0,0.0,0.0,23972,24044,29977.94091686544,0,1.35977483734709,1379939748.0,2404,-15.855349815137641,1.6624143901378663,1376464424.0,1295,54.75312642357296,1.3334442279274576,Run_23972vs24044_ReferenceDOI7th_00007,,38.71630698527277,0.9428874559015655,128.92530226095835,3.139815228152213,10.793010123910708,0.05982569051809886,8.64209897511878,0.06265432919348342
4,4,0.6261221875972989,0.00030144595083210116,0.0265485265129968,0.00018188190298736284,0.5986822631870292,0.00030411336932827473,0.029555066841071412,0.00016879494701445348,0.0,0.0,0.0,0.0,23972,24044,33983.4833135723,0,1.251468758060036,1379939748.0,2404,-16.023443587082745,1.6081703627308734,1376464420.0,1451,57.472092487188505,1.3168224795886652,Run_23972vs24044_ReferenceDOI7th_00004,,40.638906326671425,0.9311341049360291,135.32755806781586,3.100676569436977,11.625896855571176,0.06665995588074845,9.985555723241582,0.06857898733365875
5,5,0.6220128334020663,0.0002899119846383469,0.02438723776166793,0.00017132600650046273,0.6004686849221507,0.0002909614290093768,0.029327515204482707,0.0001644569113702307,0.0,0.0,0.0,0.0,23972,24044,34597.79525787129,0,0.9939379872318408,1379939748.0,2404,-15.881527065592687,1.6000500745036943,1376464421.0,1450,57.3565828028504,1.1934758722238057,Run_23972vs24044_ReferenceDOI7th_00005,,40.55722864558323,0.8439148824319824,135.05557138979216,2.8102365584985014,11.502064977045563,0.0647393085019989,9.233241155911042,0.06500826268249708
6,6,0.5834802108147946,0.0002948082377359252,0.025579731668549432,0.00018120165479698977,0.5487155239108568,0.00029677633246687576,0.02958962391169845,0.0001635729285864522,0.0,0.0,0.0,0.0,23972,24044,36478.18755561873,0,1.8946875946144317,1379939748.0,2404,-12.659076475291581,1.4787733100381766,1376464417.0,1553,54.49417412561347,1.1448261374409578,Run_23972vs24044_ReferenceDOI7th_00002,,38.533200059381784,0.8095143250641037,128.31555619774133,2.6956827024634653,12.699397278829403,0.07053811090068374,10.324303543270481,0.07332107957311874
7,7,0.627881629358146,0.00029973171669628085,0.024643808593477857,0.00016953670244937463,0.5997805206316965,0.0002896727975385153,0.02916811624808951,0.00016082103186995542,0.0,0.0,0.0,0.0,23972,24044,33181.29083233292,0,1.1621667107337357,1379939748.0,2404,-15.142782056403634,1.5909145167881866,1376464418.0,1403,55.49557326732138,1.2660756345633757,Run_23972vs24044_ReferenceDOI7th_00003,,39.241296183157836,0.8952506666948241,130.6735162899156,2.9811847200937645,11.452675003833845,0.06338714583175009,9.243170451884064,0.06374115454453957
8,8,0.5820223066863642,0.00030445130615396315,0.026679688251855238,0.00017760869122245782,0.5483105971750273,0.0002936650622223766,0.02928699746957896,0.00016563241783475202,0.6924008131179971,0.6924008131179971,0.06591763324558438,0.06591763324558438,23972,24044,36771.298914277126,0,1.3813405058941797,1379939748.0,2404,-13.843329882651375,1.5527327909964566,1376464413.0,1568,57.27018715972017,1.3782206418627985,Run_23972vs24044_ReferenceDOI7th_00000,,40.49613770046087,0.9745491618324609,134.8521385425347,3.245248708902095,12.578797381667625,0.07145759166308081,10.79523329455082,0.07208619647919447
9,9,0.6394779127242551,0.0004068128881977015,0.023738689867529184,0.0002376136487277324,0.6227348666401356,0.0003944320193828991,0.029831192705739112,0.00021354661225329982,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,17389.126354778164,0,0.666090206295734,1379938504.0,20,-130.4529889871093,2.2546340102186773,1376464158.0,729,59.34012017351088,1.9123289197548856,Run_23972vs24044ReferenceDOI6th_00006,,41.95980137111419,1.3522207470178247,139.72613856581026,4.502895087569357,11.28127917440231,0.08107254234391814,8.742227608748932,0.08768233527249987
